Fecha: 2024-05-30 15:05:03.660049, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:55.643315, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:18:55.651209, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:01.609560, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:04.484920, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:04.618531, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:04.625389, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:19:04.690655, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:04.757306, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:04.764765, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:04.769779, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:07.671269, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:07.691990, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:23.257266, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:24.486892, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:24.543968, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:24.551359, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:24.678321, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:24.695583, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: El valor de humedad es inferior al minimo permitido, Origen del sensor: Humedad, Tipo de alerta: Alta
Fecha: 2024-05-30 17:19:29.755859, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:29.757153, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:29.771040, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:29.887758, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:32.182223, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:38.300274, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:44.218794, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:44.235421, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:44.354036, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:19:44.492807, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:44.694197, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:19:44.722129, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:19:44.738759, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.010586, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.020540, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.036050, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.051842, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.076162, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:48.083406, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:21:53.251999, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:21:54.003980, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:21:54.032890, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:21:57.039934, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:00.173238, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:00.181293, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.044229, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.050238, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.079004, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.086724, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.093689, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:03.173679, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:06.033337, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:06.072868, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:06.107787, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:08.007764, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:08.053125, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:08.073264, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:08.121268, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:08.129171, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:08.172782, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:22:08.180118, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:22:08.185412, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:22:09.060544, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:09.066563, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:12.088758, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:12.096745, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:12.103878, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:12.116123, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:12.128934, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:15.134853, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:18.102630, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:18.107192, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:18.146272, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:24.149883, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:24.191722, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:24.206051, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:24.211230, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:28.032623, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:28.039098, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:33.089446, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:33.093096, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:38.221613, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:38.326106, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:38.338354, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:38.516045, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:39.211061, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:45.267507, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:45.426189, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:22:58.455147, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:58.482640, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:58.495510, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:58.501726, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:58.592431, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:22:58.682670, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:07.741108, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:07.786269, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:10.800364, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:10.800364, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:10.807164, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:13.457955, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:13.809456, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:16.745869, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:16.870912, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:16.876927, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:16.883887, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:18.490153, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:28.573486, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:28.579020, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:28.668798, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.696585, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.703530, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.710314, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.717138, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.737412, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.744840, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.765481, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.772935, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.779068, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.784703, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.957281, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:28.971105, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:31.876912, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:31.967215, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:31.981293, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:31.988210, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:34.551004, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:34.984043, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:37.900158, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:38.017135, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:38.031203, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:38.039108, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:38.473215, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:38.486231, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:38.500572, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:38.507962, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:38.514207, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:23:38.598092, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:38.609500, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: El valor de humedad es inferior al minimo permitido, Origen del sensor: Humedad, Tipo de alerta: Alta
Fecha: 2024-05-30 17:23:43.664055, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:43.700052, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:43.706062, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:23:43.748905, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:43.755080, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:43.761093, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:44.005053, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:47.076934, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:23:47.084016, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:31.641322, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:31.665170, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:36.723127, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:29:41.912817, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:41.952317, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:41.976009, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:41.981567, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:42.005623, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:42.061297, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:42.061297, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:52.118515, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:52.123040, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:52.163646, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:52.199264, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:52.206607, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:29:57.313873, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:57.342931, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:57.405814, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:57.464944, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:29:58.450166, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:04.472725, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:07.380821, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:07.389465, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:07.397303, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:07.478013, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:10.318088, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:12.164187, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:17.212561, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:17.232856, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:30:17.324709, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:30:17.352457, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:17.395161, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:17.401468, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:17.413883, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:17.490505, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:19.398104, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:19.433277, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:19.438809, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:19.486855, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:25.404819, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:25.485572, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:28.415134, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:31.535779, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:31.544665, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:31.588697, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:32.206919, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:32.213750, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:32.220635, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:32.234492, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:32.248669, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:30:37.290529, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:30:37.391758, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:37.397348, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:37.531487, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:37.553442, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:40.474483, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:40.573620, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:40.580690, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:30:40.629224, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:37.555691, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:37.579252, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:37.618136, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:33:42.734643, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:33:42.740261, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:33:42.766941, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:33:42.847070, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:46.667888, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:49.702115, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:49.813295, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:52.833603, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:55.728534, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:33:57.647678, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:34:02.790847, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:34:02.928800, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:05.984130, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:06.042168, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:06.045162, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:06.058290, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:06.085899, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:06.124507, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:06.132510, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:11.338076, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:12.037132, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:14.992444, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:18.095507, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:18.112227, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:21.019573, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:21.180508, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:31.119517, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:31.124705, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:31.131285, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:31.131285, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:31.143302, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:31.163998, Origen del sensor: humedad, Tipo de alerta: Alerta: humedad fuera de rango
Fecha: 2024-05-30 17:39:36.339606, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:36.345629, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:36.351961, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:36.415031, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:36.456203, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:36.525623, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:39.324020, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:39.330708, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:49.834419, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:49.842424, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:49.864931, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
Fecha: 2024-05-30 17:39:49.903332, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:49.914848, Origen del sensor: humo, Tipo de alerta: Datos Incorrectos
Fecha: 2024-05-30 17:39:49.914848, Origen del sensor: temperatura, Tipo de alerta: Alerta: temperatura fuera de rango
